Promotion Id,Date,Discount,ProductId
NzjwLJ2016,01-10-2019,5%,10566
pK8KLJ2016,02-10-2019,8%,1924
PmHuil2016,03-10-2019,10%,798
IdZiv82016,04-10-2019,5%,956
EN4jLJ2016,05-10-2019,10%,10616
GWQDv82016,06-10-2019,10%,6117
w2hvil2016,07-10-2019,10%,1391
dkC8il2016,08-10-2019,20%,25413
0EeEil2016,09-10-2019,10%,639
GWLKnn2016,10-10-2019,10%,15351
GZSEQM2016,11-10-2019,10%,11618
c1JgDc2016,12-10-2019,15%,564
eJML432016,13-10-2019,5%,5630
eJML432016,14-10-2019,30%,10605
APnD_x2016,15-10-2019,10%,896
e3D1O-2016,16-10-2019,10%,885
eJML432016,17-10-2019,35%,893
e3D1O-2016,18-10-2019,25%,915
APnD_x2016,19-10-2019,25%,448
APnD_x2016,20-10-2019,20%,691
APnD_x2016,21-10-2019,25%,11323
c1JgDc2016,22-10-2019,25%,14213
lgsOJE2016,23-10-2019,25%,14002
c1JgDc2016,24-10-2019,25%,17075
NzjwLJ2016,25-10-2019,5%,7457
pK8KLJ2016,26-10-2019,8%,1565
PmHuil2016,27-10-2019,20%,11304
IdZiv82016,28-10-2019,12%,2124
EN4jLJ2016,29-10-2019,10%,3946
GWQDv82016,30-10-2019,5%,717
w2hvil2016,31-10-2019,10%,300
dkC8il2016,01-11-2019,15%,8292
0EeEil2016,02-11-2019,5%,635
GWLKnn2016,03-11-2019,30%,984
GZSEQM2016,04-11-2019,10%,14068
c1JgDc2016,05-11-2019,10%,7552
eJML432016,06-11-2019,35%,6928
eJML432016,07-11-2019,25%,5536
APnD_x2016,08-11-2019,25%,6794
e3D1O-2016,09-11-2019,20%,3347
eJML432016,10-11-2019,25%,874
e3D1O-2016,11-11-2019,25%,7705
APnD_x2016,12-11-2019,25%,7108
APnD_x2016,13-11-2019,25%,11
APnD_x2016,14-11-2019,5%,976
c1JgDc2016,15-11-2019,8%,577
lgsOJE2016,16-11-2019,20%,11017
c1JgDc2016,17-11-2019,12%,24259
c1JgDc2016,18-11-2019,10%,23742
eJML432016,19-11-2019,5%,8612
eJML432016,20-11-2019,10%,26016
APnD_x2016,21-11-2019,5%,1678
e3D1O-2016,22-11-2019,8%,652
eJML432016,23-11-2019,20%,817
e3D1O-2016,24-11-2019,12%,6155
APnD_x2016,25-11-2019,10%,7149
APnD_x2016,26-11-2019,5%,3962
APnD_x2016,27-11-2019,10%,6165
c1JgDc2016,28-11-2019,15%,871
eJML432016,29-11-2019,5%,7431
eJML432016,30-11-2019,30%,846
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
